name,link,rdf_link
Gregory Bales,https://profiles.uchicago.edu/profiles/profile/39033,https://profiles.uchicago.edu/profiles/profile/39033/39033.rdf
Husam Balkhy,https://profiles.uchicago.edu/profiles/profile/2101335,https://profiles.uchicago.edu/profiles/profile/2101335/2101335.rdf
Karen Balzanto,https://profiles.uchicago.edu/profiles/profile/29354397,https://profiles.uchicago.edu/profiles/profile/29354397/29354397.rdf
Jong-Wook Ban,https://profiles.uchicago.edu/profiles/profile/69566079,https://profiles.uchicago.edu/profiles/profile/69566079/69566079.rdf
Salman Banani,https://profiles.uchicago.edu/profiles/profile/41143497,https://profiles.uchicago.edu/profiles/profile/41143497/41143497.rdf
Prashant Banerjee,https://profiles.uchicago.edu/profiles/profile/38164,https://profiles.uchicago.edu/profiles/profile/38164/38164.rdf
Armughan Bangash,https://profiles.uchicago.edu/profiles/profile/39157916,https://profiles.uchicago.edu/profiles/profile/39157916/39157916.rdf
William Banzhaf,https://profiles.uchicago.edu/profiles/profile/37694,https://profiles.uchicago.edu/profiles/profile/37694/37694.rdf
Li Hua Bao,https://profiles.uchicago.edu/profiles/profile/14477647,https://profiles.uchicago.edu/profiles/profile/14477647/14477647.rdf
Kimberly Baran,https://profiles.uchicago.edu/profiles/profile/73539859,https://profiles.uchicago.edu/profiles/profile/73539859/73539859.rdf
Mathew J. Barber,https://profiles.uchicago.edu/profiles/profile/37347,https://profiles.uchicago.edu/profiles/profile/37347/37347.rdf
Victoria Barbosa,https://profiles.uchicago.edu/profiles/profile/17410696,https://profiles.uchicago.edu/profiles/profile/17410696/17410696.rdf
David Barefield,https://profiles.uchicago.edu/profiles/profile/2119100,https://profiles.uchicago.edu/profiles/profile/2119100/2119100.rdf
Benoite Bargeton,https://profiles.uchicago.edu/profiles/profile/38436,https://profiles.uchicago.edu/profiles/profile/38436/38436.rdf
Ana Barion,https://profiles.uchicago.edu/profiles/profile/36778,https://profiles.uchicago.edu/profiles/profile/36778/36778.rdf
Edward Barksdale,https://profiles.uchicago.edu/profiles/profile/50442060,https://profiles.uchicago.edu/profiles/profile/50442060/50442060.rdf
Sravanti Barla,https://profiles.uchicago.edu/profiles/profile/51963243,https://profiles.uchicago.edu/profiles/profile/51963243/51963243.rdf
Spiro Barlas,https://profiles.uchicago.edu/profiles/profile/37520,https://profiles.uchicago.edu/profiles/profile/37520/37520.rdf
Randall Barnes,https://profiles.uchicago.edu/profiles/profile/38037,https://profiles.uchicago.edu/profiles/profile/38037/38037.rdf
Shirley Baron,https://profiles.uchicago.edu/profiles/profile/39127,https://profiles.uchicago.edu/profiles/profile/39127/39127.rdf
Fuad Baroody,https://profiles.uchicago.edu/profiles/profile/38771,https://profiles.uchicago.edu/profiles/profile/38771/38771.rdf
Luis Barreiro,https://profiles.uchicago.edu/profiles/profile/13785604,https://profiles.uchicago.edu/profiles/profile/13785604/13785604.rdf
Julieta Barroeta Vincentelli,https://profiles.uchicago.edu/profiles/profile/45700769,https://profiles.uchicago.edu/profiles/profile/45700769/45700769.rdf
